 docno              rank  score               
 33557226891251712  100   0.284585867199246   
 32849069462265856  101   0.284107710918948   
 33807258810851328  102   0.2838152358786143  
 33691968705929216  103   0.2838025332318847  
 32533932046028800  104   0.2818013480482927  
 31127081739878401  105   0.2798199549887472  
 29216290317012992  106   0.27951159305298423 
 30337451411116033  107   0.2794130607208954  
 30372369704951808  108   0.2789582508468611  
 35085887113138176  109   0.2783459900794522  
 32367377601536000  110   0.27814453339181927 
 35088174401327104  111   0.2781140350877193  
 29951821313212416  112   0.2776026617634183  
 29615699634683904  113   0.27573761224534166 
 34772121917853696  114   0.2739211197027949  
 30195250039361536  115   0.270457017338082   
 31685352380960770  116   0.270457017338082   
 35087519322210304  117   0.2699676430517711  
 29334268006109184  118   0.2686522899631403  
 32416335342338049  119   0.2680957212920683  
 29215359479320576  120   0.2678013345721767  
 29103175952760832  121   0.26750195110633    
 31034134478458881  122   0.2673496922168817  
 34685106081898496  123   0.2668546418651629  
 35065582030163968  124   0.26668629347688944 
 33487164465487872  125   0.26641737742111676 
 33974574441971712  126   0.26416430594900847 
 34749623285325824  127   0.2631011161362599  
 35089429760704513  128   0.263013812269277   
 31714148870004736  129   0.2609250267467698  
 34896617521811456  130   0.26082843157418456 
 30016135965446144  131   0.26037859811932823 
 34046526724505600  132   0.26034652652323864 
 29278999448391680  133   0.2586263153601436  
 33699781129801728  134   0.25861576736408504 
 33011290490277888  135   0.25729356867518766 
 30590163398696962  136   0.25713706407137066 
 34138287291502592  137   0.25607786123899523 
 33189234995109888  138   0.2556133349457815  
 29339125043699713  139   0.2549760746310668  
 29175889988161536  140   0.2544032096288867  
 32554663949639680  141   0.2529217023652826  
 30329279422144512  142   0.2527049915313341  
 30329277014609920  143   0.2527049915313341  
 30205882033766400  144   0.2524584942469244  
 31494093666254848  145   0.2505432849974317  
 30693704368914432  146   0.24782115918239733 
 29448572042743808  147   0.24518598716263246 
 34193380888023040  148   0.2449302792691877  
 34177049308438528  149   0.2445524316402484  
 31900740016410625  150   0.2437721051822236  
 32355080011251712  151   0.2437252565630165  
 29257171950641153  152   0.24289435378840113 
 29002307626598400  153   0.24106599756691    
 31474997331496960  154   0.23991676125614833 
 30317848328933376  155   0.23873348142012726 
 35087837812498432  156   0.2385718048083073  
 29650803027345408  157   0.238258059667844   
 32826726316773376  158   0.23731287425149702 
 30708177938944000  159   0.23723296793744622 
 33366963384229889  160   0.23610231969318987 
 33574656870973440  161   0.23590907399828862 
 30667277003137024  162   0.2356854801241428  
 30238013330030592  163   0.23563730955035303 
 30216058107330561  164   0.23506950880444855 
 32113806540804097  165   0.23503465658475112 
 32994963440537600  166   0.23474751962090923 
 30699550100422657  167   0.23238172023307804 
 34009113155342336  168   0.23171934953407639 
 34048146149482497  169   0.23005478358669232 
 29795546914885633  170   0.230021402401422   
 30003705617063938  171   0.22969644280228935 
 30336702958534656  172   0.22967980295566504 
 30318334868201472  173   0.22955508091083518 
 30689595234455552  174   0.22928945941059484 
 29205431402373120  175   0.22924801156905278 
 31181287960084482  176   0.22845510880530337 
 29562488047538176  177   0.2280607106891095  
 32173976176300032  178   0.22804430698410416 
 31411157755502592  179   0.22778216825921402 
 29513810482044928  180   0.22669097669097668 
 32178468401709056  181   0.2246112429598668  
 29402097761914880  182   0.2238974612478373  
 29248840758468609  183   0.22355014983254012 
 35087073077624832  184   0.2221716127675975  
 30197182858530816  185   0.22213269810131017 
 32173513880117249  186   0.22186843946815957 
 32828060742983680  187   0.22175980975029727 
 29438994043371520  188   0.22169003251407193 
 30193603984760832  189   0.22147709610380537 
 29919335707320320  190   0.22130317942274808 
 30236969338408960  191   0.2211333914559721  
 29921560357765120  192   0.22102933231085625 
 33701404149288960  193   0.22054117974401782 
 35087733030387712  194   0.21893450264130096 
 30938956971376640  195   0.21812865497076023 
 29583983134121984  196   0.21810614659649846 
 29148359851769856  197   0.2176943147486954  
 31757673762394112  198   0.21706089754561325 
 35093063634255873  199   0.21701632499401075 
 30928406384222209  200   0.21689755430135113 
 30390114295226368  201   0.2168085615618696  
 32008093344731137  202   0.2164016108115487  
 33952815579807744  203   0.21629826715786601 
 35105673914093568  204   0.2154091789244828  
 31954403086835712  205   0.21302113078241006 
 34333386654875648  206   0.21232211618951952 
 29266794929717248  207   0.2114300956953753  
 30377622064078848  208   0.21131031724873367 
 33206008591425536  209   0.21101497504159733 
 30311931038408706  210   0.21084657843984836 
 33437686542897153  211   0.21075547578688472 
 33700919912697856  212   0.21050360189888126 
 33413077542117377  213   0.21032206706690107 
 35085497894182912  214   0.21010603048376408 
 33030044649529344  215   0.20911519308775517 
 30641698392510464  216   0.20866102866168681 
 32534245318590464  217   0.207963005477026   
 29933456704151552  218   0.20777220747730923 
 31756967873609728  219   0.20695169712793735 
 33082496962793472  220   0.2067627494456763  
 35087908964671488  221   0.20670208951331617 
 34131286578835456  222   0.20634559062805077 
 32944644987813888  223   0.2061175399817969  
 30694654475239424  224   0.20559626483366839 
 32562864514404352  225   0.20529008029008028 
 34584819337924608  226   0.20520371509012655 
 30653083423875073  227   0.20474652889893447 
 31164790625800192  228   0.2047333075035516  
 30971607627341824  229   0.2043177058160142  
 33324287871950849  230   0.20339363613035671 
 35034840378122240  231   0.2025684439191132  
 33897529816915968  232   0.20221315134893808 
 30411426644361216  233   0.2022067030198667  
 30280509716168705  234   0.20220025510204082 
 32094176812208128  235   0.20215513118882902 
 32565862422552576  236   0.20212291215096265 
 32045208833097729  237   0.20182697816538292 
 31697817785344000  238   0.20182697816538292 
 29701645180862464  239   0.2018141311266709  
 29919929406849024  240   0.201483882242664   
 33531606639583232  241   0.2011674756511532  
 35087197958840320  242   0.200766210739615   
 29454132154728448  243   0.20004416682440532 
 34712170906386432  244   0.19986761646599005 
 35004464347742208  245   0.1995531218529708  
 32772737248268288  246   0.19920206081930134 
 34668129036533760  247   0.19887094244942763 
 32618749148270592  248   0.1987836609298097  
 34761511507464192  249   0.19875873742281291 
 33662164124307456  250   0.19831118060985145 
 32518522747752448  251   0.19815625          
 29603494889521152  252   0.197689825567801   
 35044711710326784  253   0.19721945757651158 
 35023707030167552  254   0.19713361934962384 
 32889355387277312  255   0.19704785581106277 
 29612878663258112  256   0.19688266525910517 
 35089957265604609  257   0.19623680871475876 
 33063153172480000  258   0.19578843363077778 
 32690671009660928  259   0.19531803480671492 
 30172724911411200  260   0.19499369599311173 
 35010963740565504  261   0.19441378464557274 
 29040162990202880  262   0.1941637577316431  
 31127063402385411  263   0.19399149508979108 
 33450972978085889  264   0.19306418219461696 
 31485760133664768  265   0.19297604917982897 
 33288603346010112  266   0.19246646026831787 
 30217918188879872  267   0.19085600770527333 
 35038530359136256  268   0.1907641395908544  
 32772805099528192  269   0.19075266229468746 
 35090507218550784  270   0.1906551610090502  
 32196977999482880  271   0.19061504238561897 
 30823369905545216  272   0.19015203766455752 
 30792319770820609  273   0.19015203766455752 
 35088762946072576  274   0.18970262669778015 
 30673778845421568  275   0.18964021891916144 
 33580219138834432  276   0.18941928545823875 
 31554654932307969  277   0.18941928545823875 
 29240023895252992  278   0.18911422606620937 
 29543964386267136  279   0.18850144177888759 
 28996038157144064  280   0.18829433424397196 
 34923353848414208  281   0.18811558087100985 
 32505057916227584  282   0.18798731137529276 
 34752186009264128  283   0.18744272665464543 
 35058427151523840  284   0.18742056571985932 
 35058338244853764  285   0.18742056571985932 
 35082316380377088  286   0.18722135285954708 
 35039508344872960  287   0.18722135285954708 
 29450468388249601  288   0.18718266619435592 
 34803583195025408  289   0.18717161579786293 
 33277344487571456  290   0.18606766630476246 
 31569925961154560  291   0.18570800995753403 
 29039137860354048  292   0.18464808829096416 
 33657545839091712  293   0.1845835880418013  
 33283928605327360  294   0.18393571967279693 
 34673959387529216  295   0.18385572211429732 
 34109023158665216  296   0.18371190172673543 
 29795113928499200  297   0.1836560323229983  
 29839406177189888  298   0.18361614640644003 
 29797969645535233  299   0.18341432373018626 
 32792578789212160  300   0.18309655809655812 
 30125293469437952  301   0.18299088075724346 
 30357353899495424  302   0.18270089607283832 
 29054256292044800  303   0.1826535315128471  
 30398548688248832  304   0.18224406506869004 
 32847793554989056  305   0.18208706639099473 
 30338368172720128  306   0.18195121951219512 
 30243076412801025  307   0.18163329609578643 
 29163486466543616  308   0.18156048675733716 
 32185547388616704  309   0.18153969480947063 
 35077502787391488  310   0.1815344975665617  
 29325661248163840  311   0.18138390686232442 
 32354300025896961  312   0.18106279089689045 
 30284070894174208  313   0.18043936030960103 
 33930275788431360  314   0.18023933373127543 
 32655109875830784  315   0.18010622887493966 
 35099490092326912  316   0.17975394035604944 
 30076804807004160  317   0.17897767365717349 
 32426825791569920  318   0.17896757077135844 
 35090545382658048  319   0.1784638766147871  
 31481268650643456  320   0.17721695872110899 
 29549724608503808  321   0.17714269750810147 
 30274912266489856  322   0.1770932245992292  
 29961747527897088  323   0.17662460655692042 
 30315981586829312  324   0.17641330959269974 
 33344561837248512  325   0.17629559608540923 
 29048925608480768  326   0.1760508634571603  
 32600140292292609  327   0.1751754240565777  
 31561204052791296  328   0.1750013799194127  
 29167366243885056  329   0.17493378945045246 
 34398061329383424  330   0.17484214299500922 
 29035327897206784  331   0.17452934052625785 
 29920147837820928  332   0.1737783989695525  
 35061297984839680  333   0.17364039651678626 
 30746503056195584  334   0.17353110204975236 
 35094011748286464  335   0.17324663260566653 
 32726767076642816  336   0.17317566091326198 
 32162580558512128  337   0.17274634265943825 
 30325626942529536  338   0.17266167460857726 
 33157529026428928  339   0.17224425490302603 
 33521814672121856  340   0.1716939239683743  
 33202846241394689  341   0.1714988911126738  
 29951946613854209  342   0.17034251175285425 
 33247275765473280  343   0.16974061086275666 
 30231756779028480  344   0.1691655106178636  
 29514019861692416  345   0.1691068618822839  
 32733374548283392  346   0.16858981176220356 
 31639038251241472  347   0.1683481123559709  
 30014338748129280  348   0.16776019895232552 
 34790735010078721  349   0.16766261237440508 
 33561946301136896  350   0.1674058820423465  
 29675066857889792  351   0.16729987863437285 
 30558796480774144  352   0.16725133859098465 
 33353828703145984  353   0.16700466169770076 
 33806989041606656  354   0.16686402989395016 
 33429653809143809  355   0.16635185476677686 
 30362568014962688  356   0.16633876341124315 
 34613976952356864  357   0.1660121478688868  
 30062875548590080  358   0.1657387804176795  
 30282056319631360  359   0.1644109105994607  
 32501501322596352  360   0.1637210983591743  
 32341034755162112  361   0.16359227058125433 
 32408557307568128  362   0.1628486311572243  
 30347333791121408  363   0.1627817425681573  
 34003395769532416  364   0.16235661614092586 
 34598533730410496  365   0.16164886430264871 
 33528057465675776  366   0.16133628476197748 
 33749783315218432  367   0.16102900096500586 
 34178197197160449  368   0.16099220555005458 
 30247955122356224  369   0.160759557854173   
 29536473149607936  370   0.16062110542580676 
 30080917980577793  371   0.16060483258193609 
 29503726628638720  372   0.1599848618645137  
 29397956255817728  373   0.1599041734964065  
 33354510919270400  374   0.15962240402769037 
 30356169864249344  375   0.15942174732872408 
 31984587735306240  376   0.15936565382392118 
 34134057398829056  377   0.15925558499616993 
 33244580526686208  378   0.15885860306643954 
 30349168828481536  379   0.15819674176084625 
 32870174516322304  380   0.1580350912172266  
 30574265715658752  381   0.15749341811137052 
 30303865953845249  382   0.15742694704436555 
 29998202451132416  383   0.15710321589613993 
 30142762280034305  384   0.15607846998301622 
 32594892572065795  385   0.15593645484949833 
 29083455451037696  386   0.15584447502949272 
 31102151447019520  387   0.15559972516686296 
 29616979753050113  388   0.15479445366663414 
 32961156477878272  389   0.1546660812722572  
 31690960630972417  390   0.15433105361793267 
 30426663745486848  391   0.15406108020117107 
 29732203348893697  392   0.15308290280527256 
 33577241267023872  393   0.15288728149487643 
 34377974832693248  394   0.15288359533224033 
 30091580027174912  395   0.15278413608654798 
 33285845960097792  396   0.15193482688391038 
 33582584189554688  397   0.15163689408613723 
 35025073291276288  398   0.15119938957508702 
 30258580502351872  399   0.15118496972008966 
 32130141064798208  400   0.15077157191430676 
 29497441501843456  401   0.15054605887939224 
 33025037019648000  402   0.1502962787390377  
 29772201779531777  403   0.1501859264347126  
 32517998820466688  404   0.15004732607666826 
 31467317908996096  405   0.1492702448210923  
 30229664211410944  406   0.1492              
 29633848505532416  407   0.149066716817904   
 29688660743954433  408   0.14894766513201166 
 33600600520269825  409   0.14882531039500552 
 34865300075716609  410   0.14820268312064694 
 29186869942026240  411   0.1481784403991307  
 29997701735120896  412   0.14800896316698567 
 30747321352327168  413   0.14774686611678084 
 30629752956002304  414   0.14725963771481654 
 35047107308032000  415   0.14704791057928668 
 29250798324027392  416   0.14685719579415443 
 30271148272910336  417   0.14679599962959533 
 32484208114925568  418   0.1467178787107522  
 32851874751193089  419   0.14613292772861355 
 32213756285030400  420   0.14566296058072226 
 30323595578187777  421   0.14561613006935195 
 32593444148879360  422   0.14435970404097895 
 34389348254351360  423   0.1439827429609446  
 29945383958347777  424   0.14377054755696633 
 33421758522593280  425   0.14296987734487737 
 34918962059804672  426   0.14165084329275104 
 29763570187112448  427   0.14152438343934828 
 32569893618450433  428   0.1402751968852314  
 30977485986332672  429   0.13932589207242047 
 34866041670602753  430   0.13924328597465907 
 32071582398554112  431   0.13752792417637236 
 32988152415133697  432   0.137462333889744   
 31939853176279041  433   0.13724217042183406 
 32716670480945152  434   0.13718872374029123 
 34431272889622528  435   0.13698718918101493 
 34046858674311168  436   0.13663298067185245 
 29112582530928641  437   0.13579030772854786 
 29481611904946176  438   0.13576123493266534 
 33949850445807616  439   0.13570893525949707 
 30346624152633344  440   0.1353930904898151  
 31019293650980864  441   0.13526889519380506 
 30369263667650560  442   0.1341811795077978  
 34613967619891200  443   0.13342451341399264 
 30189115651653632  444   0.13301308944453769 
 29484139694530560  445   0.13287094273201602 
 30295815549353984  446   0.13187613085705968 
 30300220357083136  447   0.131629751105391   
 29211692265111552  448   0.13150963353174192 
 33564015871393792  449   0.12960124266764772 
 33564011303796736  450   0.12960124266764772 
 34087824420511744  451   0.12904210504894278 
 33304027349393408  452   0.12798724366219927 
 34165829566201857  453   0.1278143960008869  
 33491166930542592  454   0.12686567164179105 
 30515576300380161  455   0.1266249975038441  
 34572373432733696  456   0.1262568942516377  
 29509616467451904  457   0.12511098395911843 
 32355032988913665  458   0.12460942873425433 
 34895483486867456  459   0.12443092621664051 
 31156839374659584  460   0.12340177094482827 
 33640529329659906  461   0.12338256182748623 
 32985846634254336  462   0.12075335161486898 
 30613021382418432  463   0.12020625201417984 
 34098211253649408  464   0.1199901600878023  
 29573387915362304  465   0.11925225208282399 
 29540513073856512  466   0.11835081563328231 
 35072091950678016  467   0.11703364648123882 
 31340153901416448  468   0.1163528936841719  
 30386153995640832  469   0.11344079288691701 
 32430315662221314  470   0.11277700707857576 
 28989486926925824  471   0.1126327755870546  
 29698735768346624  472   0.11259477600014206 
 33997453493538816  473   0.111148115687993   
 32976093858238464  474   0.10838945677070869 
 30586479654739968  475   0.1071639823562218  
 29537683734790144  476   0.10370261341706735 
 32128992089739264  477   0.10286984312389481 
 30207611852816386  478   0.1024443834111508  
 32196523924135936  479   0.10242287191083832 
 29187122598518785  480   0.10109529199815061 
 29030485443219456  481   0.10019118646210241 
 31561475873046528  482   0.09832532175531092 
 30278575949090816  483   0.09308163175432672 
 34986568036913152  484   0.08521589549932133 
 32807118511808512  485   0.07664877671405088 
 33171226188840961  486   0.07592829858824375 
 34994375607984128  487   0.07264291442318707 
